;; -*- coding: utf-8 -*-

[Parameter]
first-char=bcdfghjklmnpqrstvwxyz
total-char=abcdefghijklmnopqrstuvwxyz

[Punctuation]
{ 『
wmeu 杌 楲
wmi 闅
wmia 棢 椳 榅 榲 閺 闦 檛 欈 問
wmo 盳
wmoe 馼
wmoo 睕 椀
wmu 桅
wmua 睌 盌 梚 粅
wmue 瞴 駇 橆
wmuo 阌 桽 瞈 閿
wmuu 矀 瞃
wn 武
wna 娓
wnae 鴖 犚 媉
wnai 鄥 媁
wnao 鹜 婺 鶩
wne 娃
wnee 袜 鹉 妩 妧 娬 鵡
wnei 牾 娪 鹀 襪 鵐
wneu 歪 媙 鴮
wni 娲
wnia 媦 婐 祦 禑 媧
wno 婉
wnoe 妄 妏
wnoo 婠
wnu 物
wnua 娩 妴
wnue 犩 婑 鷡 嫵
wnuo 嬒 鹟 鶲
wo 为
woa 袜
woe 紊
woo 渭
wou 炜
wp 舞
wpa 乌
wpae 箼
wpao 丸
wpe 午
wpi 烏
wpu 笂
wq 旺
wqa 暐
wqe 晤
wqi 猥
wqia 猬 昷 猧
wqie 獩
wqo 晼
wqoo 晥
wqu 暀
wqua 晩
wque 旿
wqui 歍
wquo 暡
wr 位
wra 兦
wraa 亾
wrae 偓
wrai 偉
wre 伟
wrea 佤
wree 仼 倵
wrei 伍 儰 俉 臥
wri 偎
wro 伪
wroo 倇
wrou 偽
wru 侮
wrua 仴 伆
wrue 倭 仵 儛
wruo 僞
ws 屋
wsa 嵍
wse 崴
wsea 砙
wsee 岏 碔
wsei 鼯 峿
wseu 屼 矹
wsi 斡
wsia 嵔 碨 硙 餵 豱 饂 磑
wsie 饖
wso 碗
wsoe 砇 鼤
wsu 尾
wsua 峗 峞 硊 岉
wsue 巍 硪 崣 餧
wsui 嵬 磈 屲 嵨
wsuo 嵡
wsuu 嶶
wt 畏
wta 墛
wte 圬
wtee 圩
wtei 垭 埡
wti 胃
wtia 壝 塭
wto 畹
wtoe 塆 壪
wtoo 埦
wtu 坞
wtui 塢
wtuo 塕
wtuu 畖
wu 外
wua 危
wue 委
wui 伍
wuo 翁
wv 未
wva 霨
wvae 鳚 腛
wvai 聉
wvao 雺 霚 霧
wve 卫
wvee 肟 陚 鮇 魭
wvei 郚 鯃
wveu 兀 鲔 阢 鰖 隇 鰄 陓 鮪
wvi 隈
wvia 腽 鳂 霻 腲 鳁 鰛 膃 鰃 鰮
wvii 于
wvo 腕
wvoe 雯 魰
wvoo 脘 霐 鲩 鯇
wvu 雾
wvua 邬 鮠 肳 脗 脕
wvue 膴 稣 穌
wvui 隗 翫 鰞 隖 鄔
wvuo 翁 鄬 奣 聬
wvuu 霺
ww 望
wwa 务
wwaa 亡 紊 璏
wwai 邷 瑋
wwao 敄
wwe 玩
wwea 瓲
wwee 玮 韎 珷
wwei 瓧 韤 朢 韡 瓁 珸
wweu 瓸 尫
wwi 韪
wwia 琝 琞 瑥 蚉 螡 韙
wwio 韑
wwo 琬
wwoe 玟 珳 甕
wwoo 琓
wwu 瓮
wwue 瓱 瓩 璑 玝 甒
wwui 璺 琟 亹 斖 鳼 鴍 瑦
wwuo 瓰 尩
wwuu 彣
wx 忘
wxa 慰
wxaa 穵 夗
wxai 夘 邜 窹
wxe 恶
wxei 窐 忢 惡
wxi 窝
wxia 窩
wxo 窏
wxoo 窪
wxu 窊
wxuo 愈
wy 误
wya 叞
wyae 褽
wye 顽
wyea 誈
wyee 尪 頑
wyei 诬 誣
wyeu 詴
wyi 谓
wyia 誷 謂 誤
wyu 诿
wyua 雘 尯 頠
wyue 譕 諉
wyui 醀
wyuu 讆 讏
wz 艉
wza 罻
wzaa 乛
wze 趶
wzei 孯 卐
wzi 卍
wzie 韋
wzo 乄
wzoo 踠
wzu 踓
wzua 爲
wzue 踒 躌
wzui 舀
wzuo 罖
wzuu 躗 躛
x 下
xa 线
xaa 绚
xaae 骁
xae 犀
xai 陷
xao 熊
xau 嫌
xb 贤
xba 巽
xbae 齂
xbao 賐
xbe 兮
xbee 疞
xbei 皙 疜 梺 贒 痚 皢 髤 疶 賢
xbi 旬
xbia 卥 癎 卨 灥 癇
xbie 贙
xbio 痟
xbo 痫
xboe 痃
xbu 匈
xbua 癣 皀 賯 疧 韰 癬
xbui 髹 瘜 齅 賉 興
xbuo 豀 谺
xbuu 鬚
xc 行
xca 萧
xcaa 芗 蚃 蠁 薌
xcae 芎 荨 蕸 赮 蛝 蟰 軐 蔒 蟳 蕁 蝦 蕭
xcai 蝑
xcao 葈 芧
xce 轩
xcea 徢 蛵
xcee 軒
xcei 厢 茜 虾 蜥 蕈 荤 菥 葙 芐 轞 衖 齛 蜤 徆 蟢 藖 蟏 莕 藚 蓒 蠨 葉
xceo 轌
xceu 厦 薤 輱 虈 蝢 葴
xci 蝎
xcia 蚬 苋 葸 厘 赨 蠵 齥 苬 蠉 蜆 莧 蠍
xcie 徙
xcio 蛸 莦 萷
xco 蓄
xcoa 芯 葷
xcoe 薪 莘 蓆 蝷 蚿 忀 藃 蘐 衒 蔙
xcoo 辖 萱 蓿 螛 虃 藛 蝖 藼 茓 轄
xcou 蕿
xcu 徐
xcua 蟹 荀 徇 藓 蟓 赥 赩 薢 蠏 蘚
xcue 衔 薰 萫 蜁 蘍
xcui 薛 螅 茠 螝 蓨 蒠 雟 薂 蕮 苮 蟂 螑 藇
xcuo 蟋 莶 莃 徯 螇 蒵 齘 萲 薟 銜
xcuu 循 荇 蓰 蕦 蒣
xd 象
xda 习
xdae 汛 浔 潚 潠 溊 潯
xdai 湑
xdao 浚 漝 汿 瀥
xde 泄
xdee 契
xdei 湘 潇 淅 渫 涍 涬 瀟
xdeo 辛
xdeu 湏
xdi 消
xdia 澖 灦 涀 洩 夐 敻
xdie 瀣 濬
xdiu 渻
xdo 穴
xdoa 泻 浒
xdoe 漩 泫 滀 洨 滧 滸
xdoo 渲 泬 瀗 瀉
xdou 券 豏 濴
xdu 斜
xdua 殉 洵 汐 潒 澥 洶
xdue 洗 冼 凞 滊 羊
xdui 涎 溴 洫 殠 潟 澙 臽 滫 殈 奞 鬩 釁
xduo 溪 汹 淆 溆 浠 冾 洽 渓 潝 潊 漵
xduu 漇 潃 洐
xe 想
xea 邪
xee 刑
xei 鞋
xeia 酗
xeie 熹
xeii 巷
xeiu 橡
xeo 霞
xeu 硝
xf 旋
xfa 揟
xfae 摡 挦 撏
xfai 缷
xfao 飁
xfau 搚 拹
xfe 挟
xfea 颬
xfee 揳
xfei 撷 搟 擷
xfeu 挾
xfi 罅
xfia 撊 攜
xfio 颵
xfo 揎
xfoo 搳 攇
xfu 掀
xfua 扱 飍
xfue 颴
xfui 携 擤 扸 撨 擕
xfuo 斺
xfuu 缿 揗
xg 项
xga 序
xgae 彇
xge 席
xgea 写 魆
xgee 緳 憲
xgei 宣 鞋 韯 宯 庨 髐 鞢 鞾 廂
xgeu 咸 戌 烕 廈 項
xgi 宵
xgia 韅 鞙
xgie 戯 戱 魖 戲
xgio 魈
xgo 弦
xgoe 髇
xgou 庠 宩
xgu 宿
xgua 廨 廯
xgue 宪
xgui 靴 庥 冩 寫
xguo 骱 韱 鞵 廞
xh 西
xha 秀
xhaa 匸
xhae 煡 熽 燖 煆
xhai 灺 稰
xhao 臹
xhau 灱 熁 燲
xhe 黠
xhea 黖
xhei 烲 焟 熺 穘 烜
xheu 燹 烼
xhi 香
xhia 焸 焁 炠 馦 馫 煋 秈
xhii 虚 卌 丅 灲 虛
xhio 焇
xho 炫
xhoa 焈
xhoe 爕 稸
xhoo 煊 稥
xhou 燨 爔
xhu 稀
xhue 熂 烍 炧 燻 爋
xhui 熄 烌 虗 烅 燢
xhuo 烯 煖 熻 烚
xhuu 烆 炘 焮
xi 小
xia 晰
xiae 嗅
xie 虚
xio 肖
xiu 省
xj 新
xja 解
xjae 巺 縀 鍜 繍 繏 繡 鏽
xjai 邤 縃
xjao 幓
xje 续
xjea 舃 綫 鋞
xjee 钘 铏 銒 鈃 鉶
xjei 绪 巷 缃 缬 绁 觋 镡 繥 鈢 纚 繊 纎 鑦 絤 鏾 紲 緤 緈 綇 続 緖 覡 緗 纈 鐔 緒 續
xjeo 繻 鑐
xjeu 綊 幁 銊
xji 细
xjia 锡 鋗 鍟 緆 觽 觿 鑴 鋧 錫 細 絏
xjie 鎼 覤 鏬
xjio 销 绡 綃 銷
xjo 镶
xjoa 鈊
xjoe 锌 铉 镟 纕 絃 觪 縼 鑲 鋅 鉉 鏇
xjoo 縖 鎋 鍌 幰 鏥 鍹
xjou 觧 锬 絴 觲 錟
xju 希
xjua 欣 绚 舄 鉨 釸 錎 鐌 虓 鈒 絢
xjue 绣 锈 铣 纤 鎎 釳 铦 絬 綉 銹 纁 鑂 銑 銛
xjui 鎴 缐 銝 鎀 鏅 觷 紃 線
xjuo 鑫 鉩 鏭 绤 綌 纖
xjuu 锨 銗 縰 鍁
xk 向
xka 啸
xkae 嘨 吷 噚 噀 嘯
xkao 嘐
xkau 嗋
xke 吓
xkea 哓 咥
xkee 吁 咞
xkei 嘻 哮 叶 唽 嘕 嘋 噧 咺 嚇 嘵
xki 嘘
xkia 匣 嚣 呷 呬 哯 呺 嚻 吅 囂
xkie 唬 噱 嚱 噓
xko 喧
xkoe 嗃 噷 噺
xkoo 啌
xkou 吙 嗛 咲
xku 兄
xkua 吸 咰 哅 呴
xkue 啣 嚑
xkui 响 嗅 咻 嘄 唌
xkuo 凶 唏 哈 噏 啋
xkuu 哘
xl 性
xla 迅
xlaa 巡 廵
xlae 遐 忚 焄 選
xlai 逊 遜
xlao 熊
xlau 勰 劦 恊 愶
xle 惜
xlea 煕 怴
xlee 刑 釐
xlei 熙 悻 熹 恓 憘 恄 懗 憢 焎 薫
xleo 襲
xleu 还 鹹
xli 削
xlia 勋 惺 煦 勖 暹 懁 怬 憪 禼 喣 勛 還
xlio 逍
xlo 袭
xloe 効 恔 慉 怰
xloo 愃
xlou 劵
xlu 选
xlua 懈 邂 恂 忺 恟 迿
xlue 熏 熈 麘 勲 忔 勳
xlui 恤 恦 烋
xluo 悕 慀 憸 忷 愋
xluu 忻 惞
xm 相
xma 栩
xmae 樨 榍 騢 睱 糏 桪 樳
xmai 糈 県 楈
xmao 槢 騽 糔 瞲
xme 闲
xmea 朽 骁 閕 棲
xmee 械 楔 盱 駴 栔 駥
xmei 栖 粞 糦 槆 棤 闀 矆 瞦 橲 矖 椞 櫹 閑 驍
xmeo 樰
xmi 杏
xmia 柙 籼 枵 驨 睍 粯 睲 盢 瞁 梋 駽 檈
xmie 杫 枮 驉
xmiu 省
xmo 校
xmoa 杺
xmoe 眩 骧 骇 橀 欀 骍 槒 駭 驤 騂
xmoo 瞎 楦 櫶 睻
xmu 析
xmua 枭 橡 檞 杴 栙 矎 眴 栒 毥 閒
xmue 橁 籺 毨 楿 矄
xmui 驯 榭 檄 阋 椺 樇 桖 杊 梟 馴
xmuo 榝 桸 睎 榽 騱 盻 闟 枔 楥
xmuu 盺 盨
xn 先
xna 婿
xnaa 禒
xnae 娹 婱 襑
xnao 鵔 娭 褶
xnau 姭
xne 牺
xnea 娙
xnee 祆 禊 褉
xnei 嬉 禧 褼 襭 娎 媟 婞 蒆 媐
xneo 嬬
xni 袖
xnia 裼 奾 嫺 鷴 鷼 娊 鸮 禤 嬛 牰 姍 嫻 鷳 鴞
xnie 婋
xno 祥
xnoe 妶 嬜 嫙 袨
xnoi 娴 鹇
xnoo 鸂 鶷 鶱 媗 袕 鸴 鴬
xnou 嫌 犠 犧
xnu 姓
xnua 姰 姗 兟 襐 姁
xnue 姺 犔
xnui 媳 鸺 裇 鶽 姠 鷍 嬹 鷽 鵂
xnuo 妎 嬆 鵗 祫 嬐 孅 襳 祄
xnuu 妡 裄 媭 嬃
xo 心
xoa 诩
xoai 禧
xoe 辛
xoo 潇
xooe 汹
xooi 惺
xou 羲
xp 形
xpa 夕
xpae 箫 簨 簘 簫
xpe 须
xpei 箱 笹 筪
xpeu 須
xpi 血
xpia 囟 笚 篂
xpie 舋
xpiu 箵
xpo 箲
xpoo 箮
xpu 筱
xpua 筿
xpue 筅
xpui 篠
xpuo 笅
xpuu 簁
xq 星
xqa 暇
xqaa 曏
xqae 歗
xqai 尠
xqao 獝
xqe 献
xqea 晓 狘
xqee 旴
xqei 昔 晰 昰 氥 晳 暿 歖 欯 尟 暁 旪 暬 朂 晅 獟 敼 曉
xqeo 狭
xqeu 晇 狹 獮
xqi 显
xqia 歇 猩 狎 氙 玁 晛 猲 曐 冔 勗 昍
xqie 猇 歔 獻
xqo 曦
xqoa 忥
xqoe 歊 暶 昡
xqoo 暄
xqou 歚 欻 歘
xqu 旭
xqua 獬 旮 狝 欨 昫 狥
xque 曛 獯 敮 獢 狌
xqui 獥 晑 斅
xquo 欷 歙 猃 欱 暖 晞 狶 敍 獫
xquu 昕
xr 信
xra 偦
xre 休
xrea 偕
xree 偰 侀
xrei 僖 僊 僲 侾 龤 伳 倖
xreo 侠
xreu 俠
xri 修
xria 仙 儇 伣 俔 仚 屳 僩 僴 伵
xriu 翛 脩
xro 伈
xroe 伭 俲 傚 伩
xru 像
xrua 佭 俢 伨 侚 係
xrui 倠 侐
xruo 俙 傒 佡 僁 俆
xruu 俽 偱
xs 协
xsa 飨
xsaa 饗
xsae 碿 碬 見
xsao 嶍 沀 攳
xsau 饧 见 協
xse 峡
xsea 岈
xsee 硎 砉
xsei 硒 荥 饎 硅 屉 礂 礥 硣 屟 殾
xseo 硖
xseu 峽 硤
xsi 县
xsia 岫 岘 枲 屃 屓 餳 峴 屭
xsie 巇
xsii 卂
xsio 屑 犀 硝 揱
xso 馐
xsoe 饻 屖 饟 餏
xsoo 碹 磍 岤 峃
xsou 鼸 饈 滎
xsu 馅
xsua 峋 矽 嶑 嶰 餡
xsue 饩 餼
xsui 饷 鼷 嶲 巂 磶 餉 嶨 澩
xsuo 崤 磎 豨 餙 豯 崄 殽 嶮
xsuu 屣 屧 屜
xt 喜
xta 馨
xtae 塈
xtai 毊 壻
xte 型
xtee 圩 坃
xtei 畦 圷 奊 壦
xteu 壐
xti 墟
xtia 埙 囍 埍 垷 塤
xto 幸
xtoe 畜 垶 垿
xtoo 塇 坹
xtu 孝
xtue 壎
xtui 壆 塮 皨
xtuo 垥 燅
xu 笑
xua 猩
xuau 邂
xue 锈
xui 仙
xuo 凶
xuu 徇
xv 些
xva 雪
xvaa 隟 郷 鄊 鄕 膷 鱜 臘 鄉
xvae 限 霞 鲟 鰕 阠 鄩 鱘
xvao 陉 霫 鳛 魣 鰼
xvau 胁 脇 脋 脅
xve 需
xvea 邪 陘
xvee 邢 霼 陿 郉
xvei 膝 鲑 腊 霰 魼 聓 厀 鱚 臔 膮 翓 鱏 鮭
xveo 鳕 膤 鱈
xveu 脥 陜
xvi 霄
xvia 腥 隰 鳃 酅 翈 魻 鯹 翾 鰓
xvie 隵
xviu 隙
xvo 鲜
xvoe 胘
xvoo 翧 鰚
xvou 鲞 鮝 鱶 鮮 鯗
xvu 险
xvua 胸 陷 降 郇 肷 鱻 陥 鱌 胷
xvue 卸 胜 鮏 鄦 聟 臐
xvui 腺 鄎 臖 鮴 鱮 習
xvuo 郗 翕 肸 肹 翖 鯑 郄 険 郩 膎 脪 兇 郤 險
xvuu 胻
xw 现
xwa 玄
xwae 瑕 璕
xwai 斈
xwao 珝
xwe 夏
xwea 衺 瑎
xwei 亵 璓 褻
xweu 顼 珛 珬 璽 頊
xwi 享
xwia 襄 亨 瓗 亯 瑆 琄 現
xwie 璿
xwo 效
xwoa 韗
xwoe 璇 瓖 夑 玹
xwoo 玊 敩 瑄
xwou 甉
xwu 玺
xwua 褎 褏 珣
xwue 珗 琇 琁
xwui 珦 斆
xwuo 琋 珨 敘
xx 学
xxa 絮
xxai 卹 愻
xxe 兴
xxee 衋 絜
xxei 寻 繋 繫 怷 怸 惁 憙 窙 窢 尋
xxi 悬
xxia 肖 虩 縣 懸
xxie 辪
xxo 衅
xxoa 泶
xxoe 窨
xxu 系
xxua 穸 欰
xxui 恷
xxuo 悉 窸
xy 许
xya 讯
xyaa 響
xyae 誸 訊
xyai 羞 醑 谞 諝
xyao 翔 诩 诶 謵 誒 詡
xye 戏
xyea 谐 諧
xyee 訏 詽
xyei 颉 酵 譆 誟 訹 顤 頡
xyeo 謣
xyeu 羬 諴 顨
xyi 醒
xyia 胥 諰 顕 誢 謃 诇 譞 顯 詗
xyie 謼 譃 谑 謔
xyo 详
xyoa 訫
xyoe 羡 燮 醯 謞 詨
xyoo 諠 羨
xyou 詳
xyu 谢
xyua 询 歆 詾 讂 訙 詢
xyue 醺 羲 酰 許
xyui 训 謏 顖 謝 訓
xyuo 叙 酗 谖 謑 譣 誵 讻 訩 諼
xyuu 訢
xz 息
xza 乡
xzaa 奚 谿
xzae 趘
xzai 郋
xzao 趐
xzau 嚮
xze 雄
xzei 踅 舾 蹀 踍 躧 蹮 躠 乴 躚
xzeo 艝
xzeu 臭 臰
xzi 舝
xzia 舺
xzio 踃
xziu 赻
xzo 舷
xzoa 孞
xzoe 躞 趇
xzu 跹
xzua 跭
xzue 跣
xzui 貅 雤 學
xzuo 蹊 貕
xzuu 蹝
y 一
ya 也
yaa 幼
yaae 驿
yae 尾
yaeu 熨
yai 隐
yaii 隅
yao 羿
yaoi 甬
yau 娅
yaue 娱
yb 益
yba 瘾
ybaa 癰
ybai 鼼 貤 癊 癮
ybao 贻 貽
ybau 疡
ybe 养
ybea 痍 疟 疨
ybee 兿 養 勻
ybei 痖 皣 瘂
ybeo 瘗
ybeu 疣 痷 痏 贋 瘱 贀 贗 瘞
ybi 瘿
ybia 卣 癌 癦 痬 賏 瘍 癭
ybie 瘧
ybii 劓
ybo 赢
yboa 賱
yboe 匀 瘀 癔 瘖 癕 赟 贏 贇
ybou 痒 賹 癢
ybu 舆
ybua 疫 痈 匇
ybue 髺
ybui 瘐 皛 輿 與
ybuo 瘉 癒
yc 原
yca 药
ycaa 艺 蕴 轧 蚴 苭 葯 蝝 藴 蘊 軋
ycae 蚓 龈 蔚 尉 輑 齦
ycai 荫 虵 蘟 蔭
ycao 蛹 蓣 苡 蛡 蕷
ycau 轺 萾 軺
yce 严
ycea 芽 荑 蚜 齖 厊 蕥 蛦 芅
ycee 芸 芋 芫 虶 芌 蚖 衏
ycei 压 衙 辕 萤 蜮 龉 圧 厓 蔫 蝘 葽 徺 蓺 虉 蟫 蝧 莤 輏 羐 蘛 荺 葉 藝 齬 轅
yceo 蕓
yceu 厌 靥 魇 餍 螈 厣 蚘 蠮 輢 齮 蘙 苃 蒝 軏
yci 英
ycia 茵 蝇 蜴 蚰 齵 蔅 齞 厭 輰 軮 苢 螘 荶 蘡 蠳 茰 蜎 薗 蚎 蒀 蒕 蝹 蒷 齫 厴 靨 蝿 蠅
ycie 蝆 齾
yco 营
ycoa 蒏 蒮 蒬 齳
ycoe 薏 菸 蝣 蕹 萒 齴 齩 藙 蜟
ycoo 衍 菀 蛇 萓 蔩 螾 荢 蕍 薀
ycou 蚁 徉 蛘 蝤 蓔 轙 螠 齸 苂 藀 輶 蟻 螢
ycu 御
ycua 役 苑 莸 茚 茒 苚 葾 蚏 蕕
ycue 轶 莠 蛾 衘 萟 蜏 軼
ycui 雁 蜒 赝 萸 莜 徼 輗 藇 莚 鳫 鴈 薬 蛜 萭 薁 轝 蜵 厡 厵 藥
ycuo 徭 艾 蝓 萲 蘨 苅 螸 萮 輍 蝯 蘥
ycuu 葕 螔 蒑 龂 蘌 蓹 齗
yd 言
yda 涌
ydaa 永 灉 泑
ydae 涒 殔 泿
ydao 冶 潏 沇 瀷 滪 湧 澦
ydau 溋
yde 衣
ydea 洟 泧 浳
ydee 沅 滟 灧 沶 沄 夽 訁 灩
ydei 滢 湮 潆 殪 殜 漹 潱 漜 凐 渶 溁 淢 灪 溒
ydeo 音 澐
ydeu 源 涯 淹 厃 殗 瀀 沋
ydi 央
ydia 油 奄 殃 殒 泱 洇 溰 漄 灔 灎 浥 潩 瀴 浧 湡 渁 灁 涢 溳 殞
ydie 澞
ydii 澲
ydiu 夵
ydo 游
ydoa 泳
ydoe 液 奕 淤 瀛 渷 洂 澺 灜 滽 澭 淯
ydoo 演 涴 殥 奫
ydou 洋 溢 漾 瀁 溔 浂 濙 濚 濴 瀯 灐 湵 渆 渕 瀠 瀅
ydu 义
ydua 沿 渔 漪 淊 濥 湚 泈 漁
ydue 羊 汼 奍 殀 泆 淵
ydui 丫 湺 燄 洢 滺 浟 斞 鼝
yduo 渊 浴 淫 渝 瀹 洮 淆 渰 濦 滛 洕 湲
yduu 沂 溵
ye 有
yea 辕
yeao 鸢
yee 瑜
yeee 耘
yeei 瑗
yei 抑
yeia 酉
yeie 焉
yeii 蕴
yeiu 檐
yeu 奄
yeua 殃
yeue 靥
yf 爷
yfa 扬
yfaa 掾 拗
yfai 扡
yfao 抁 挧
yfau 飏
yfe 掩
yfea 捓
yfee 扜 抎
yfei 揶 揠 揲 挜 抴 捙 擖 擛 掗 爺
yfeu 扰 擫 旑
yfi 押
yfia 揖 挹 罂 撄 抰 拽 揚 颺 攖 罌
yfo 掖
yfoe 攍 摬 擁
yfoo 抭
yfou 揂 攁 罃 攚
yfu 摇
yfua 拥 抑 抈 抣 搖
yfue 旖 扦 斿 旟
yfui 揘 掜 捳
yfuo 援 於 揄 揜 揺 摿 飖 扵 颻
yfuu 擨
yg 引
yga 庸
ygaa 靿 廱
ygae 靷
ygai 寱 廕
yge 宇
ygea 庌 骮 戉
ygee 骬
ygei 寅 弬 宧 靾 鞕 庮 魊
ygeu 宥 戫 魘
ygi 宜
ygia 宴 寓 鞅 鞰 庘 宐 廙 鞇 廮 髃 庽 弲
ygo 应
ygoa 応
ygoe 庡
ygoo 戭
ygou 鬻 粥
ygu 鹰
ygua 冤 宛 寲 冘 寃
ygue 宎
ygui 膺 庾
yguo 鞥
yguu 寙
yh 与
yha 牙
yhaa 黝 丂 乁
yhae 夷 熨 戺 煆
yhai 稦
yhao 熠 弋 燿 熤 燏
yhau 炀
yhe 荧
yhea 弌 黓
yhee 烎 秐
yhei 稏 黫 鬳 煐 稢 稶 爩 煠 煙 燁
yheu 鼋 黡 黤 黬 黳 黶
yhi 雨
yhia 烟 虞 煜 酉 秧 馣 熀 焽 焑 焬 襾 亜 爓 炴 爗 熼 穓 燡 秵 秞 彧 煴 熅 熉 煬
yhie 亞
yho 炎
yhoe 扆 焲 燱 焴
yhoo 焥 黦
yhou 焱 烊 扊 燚 熒
yhu 移
yhua 焰 黟 虤 焔 扅 炈
yhue 戼 毉 熪 丣 秗
yhui 页 烨 燠 煅 烻 穥 頁
yhuo 黭 熖 烑 熎 爚
yi 眼
yia 岩
yiae 咽
yiai 屹
yiau 鹦
yie 虞
yio 耀
yj 已
yja 银
yjaa 缘 钇 釔 緣
yjae 鈏 銉 縁 纼 銀 紖
yjai 釶 觃 鐊 覎
yjao 绎 鈶 鉯 銿 繘 鈗
yjau 钖 糿
yje 异
yjea 钺 铘 銕 釾 釴 鋣 鉞
yjee 钰 纭 纡 銢 釪 鈨 紆 鈺 紜
yjei 蓥 鐷 铔 錏 鐚 觾 鎁 鍱 鎑 巸 鈘 緸 绬 锳 铻 緎 鎱 鋆 鍈 緓 鋙
yjeo 繧
yjeu 舁 铕 纋 銪
yji 缨
yjia 铀 铟 緆 鉠 紻 覞 幆 絪 淾 鑍 鐛 鍝 縜 缊 緼 鍚 繹 銦 纓 鈾 縕
yjo 缢
yjoa 緷
yjoe 镛 铱 镱 帟 繶 錥 銥 鐿 鏞
yjoo 縯 鏔 鋺
yjou 镒 覮 縊 鎰 鎣
yju 约
yjua 钥 铅 觺 鈠 鈅 鉛 約
yjue 鉇 铁 攺 鈝
yjui 綖 纅 帠
yjuo 臾 觎 铫 鈆 緰 鎐 鋊 銚 鑰 覦
yjuu 斦 釿
yk 因
yka 哟
ykaa 吆 呦 嗈 喲
ykae 吲 呎 吚 囙
ykai 邑 吔 匜
ykao 噊 圎
yke 右
ykea 呀 咦
ykee 园 吁 噖 啨 呍 囩
ykei 叶 哑 噎 呓 圄 圉 唖 圔 嚥 喓 呭 甴 啞 囈 園
ykeu 囿 嚈 嚘 哊 喐
yki 员
ykia 圆 咽 嘤 喁 圜 哕 啱 匽 咉 嘢 唈 圛 嚚 喅 囦 肙 噮 嚴 嚶 員 圓
ykie 呲 噛 円 噳 噦
yko 咬
ykoa 咏 喗
ykoe 唷 噫 唁 喑 喭 圁 噟 噰 唹
ykoo 噾
ykou 嗌 哾 營
yku 医
ykue 呏 呹 唀
ykui 咿 囮 噢 唌
ykuo 吟 喻 谷 噞 嗂 唫 匬 喩
ykuu 听
yl 远
yla 野
ylaa 忆 幼 劜 怮
ylai 迆
ylao 勇 怡 翊 怿 耛 逘 勈 悀 愑 忬 遹
yle 运
ylea 迓 恞
ylee 迂 耘 龑 迃
ylei 燕 焉 愝 怈 勚 愥 逰 惐 逺 迊 勩 遠
yleo 辷
yleu 忧 恹 剦 麙 懮 耰 迶 懨
yli 遇
ylia 遗 愠 怏 悒 麣 怞 麌 剈 悁 愪 遺 懌 慍
ylie 逌
ylo 悦
yloa 恽 怺 惲 運
yloe 慵 遃 愔 逳 憶 遊
yloo 竩 愹
ylou 剡 惔 懩
ylu 迎
ylua 逸 勨 迻 豙 麀 邎 邍 遙
ylue 迤 劮
ylui 延 邀 懙
yluo 遥 愉 逾 刈 恌 悇 慃 愮 懚 恱 悅
ym 样
yma 杨
ymaa 橼 眑 櫞
ymae 駅 粌
ymai 杝 檃 櫽
ymao 驭 驿 眙 枱 矅 櫲 驈 馻 馭
ymau 盈 楹 桇 盁
yme 椅
ymea 眱 枒 桋 杙
ymee 盂 闫 柡 杅 杬 盶 眃 枟 閆 豔 黿
ymei 盐 阈 椰 桠 樾 槷 梀 樮 椻 驠 楧 楆 闄 騕 枼 枽 楪 瞱 瞸 枻 槸 闉 梄 槱 棫 榬 栕 椏 鹽 閾
ymeo 橒
ymeu 阉 睚 檿 瞖 櫌 駀 栯 榞 騵 閹
ymi 樱
ymia 杳 柚 閺 麲 櫩 欕 騴 眏 駚 柍 栧 骃 栶 梬 粙 楊 驛 駰 櫻
ymii 驜
ymo 阅
ymoa 栐
ymoe 阏 楌 檹 椸 棭 檍 訚 誾 槦 棛 棜 閼
ymoo 柼 椬 桜 盓
ymou 棪 眻 様 榚 檥 榏 櫿 楢 閲 樣
ymu 验
ymua 阎 檐 眢 栎 枃 麽 橪 栘 栺 駌 枂 閻
ymue 枖 柂 鬱
ymui 閰 梎 楰 楀 棩 樂 櫟
ymuo 榆 毹 騐 験 榣 枍 檭 檼 櫾 楡 睮 騟 欎 欝 鬰 驗 閱
ymuu 椼
yn 妖
yna 妤
ynaa 彝 鴢 袎 鳦
ynae 妜
ynai 衪 禕
ynao 鹬 祤 鷸
yne 姨
ynea 鸦 鸢 鴺 鴉 鳶
ynee 妍 妋 嬺 妧 姸 祎 衧 妘
ynei 嫣 娅 莺 鵶 褗 鶠 嬊 嬿 鷰 鸉 婹 嬄 媐 袣 鹝 褹 襼 鷧 禋 鷣 媖 鶧 媴 褤 嬳 婭 鷊 嫗
yneu 妪 裿 嬮 裺 嫛 鹥 頉 嫕 姷 祐 嫄 鷖
yni 姻
ynia 婴 娱 鸭 鸯 鹦 婩 婸 鹍 孍 鷃 姎 禓 鷕 衵 鶍 裀 孆 鷪 鸎 牰 娯 媀 嬽 鶰 褞 襗 鴨 鴦 嬰 鸚 娛
ynie 鸆
ynii 鸈
yno 嬴
ynoa 鶤
ynoe 弈 娮 鵺 嬑 鷾 嫞 鷛 鷹
ynoo 嫆 姲 鴳 鴥 鹓 鵷
ynou 裷 鸃 鹢 嬟 嫈 禉 鷁 鶯
ynu 裕
